DOI cattype cat T   log_conv    sel author  rxntype oxidant catalysis   single-site tag category
10.1016/j.jcat.2004.04.010  MFI Fe  673 -0.21   2.00    Wood    gas N2O heterogeneous   yes None    Zeolite
US4918249   sodalite    Fe  670 -1.42   59.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  675 -1.37   63.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  680 -1.34   64.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  686 -1.26   66.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  687 -1.28   70.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  689 -1.24   70.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  691 -1.27   68.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  695 -1.27   65.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  700 -1.29   66.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  705 -1.26   63.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  715 -1.21   64.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  725 -1.25   59.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  735 -1.24   58.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  692 -1.35   59.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  698 -1.27   63.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  703 -1.24   62.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  713 -1.28   59.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  703 -1.40   52.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  711 -1.34   55.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  717 -1.31   54.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  710 -1.62   43.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  722 -1.51   45.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  724 -1.46   46.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  728 -1.43   45.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  732 -1.41   44.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  726 -1.80   38.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  739 -1.59   40.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  701 -1.24   24.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  707 -1.24   25.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   sodalite    Fe  712 -1.25   21.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   SiO2    Fe  712 -1.64   25.00   Durante gas O2  heterogeneous   no  None    Oxide
US4918249   ZSM-5   Fe  709 -1.29   18.00   Durante gas O2  heterogeneous   yes None    Zeolite
US4918249   sodalite    Fe  708 -1.24   25.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   MO3/SiO2/Al2O3  Fe  723 -1.64   47.00   Durante gas O2  heterogeneous   no  None    Oxide
US4918249   Sodalite    Fe  717 -1.31   54.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   glass-beads Fe  680 -2.70   47.00   Durante gas O2  heterogeneous   no  None    Oxide
US4918249   glass-beads Fe  691 -1.85   44.00   Durante gas O2  heterogeneous   no  None    Oxide
US4918249   glass-beads Fe  695 -1.60   56.00   Durante gas O2  heterogeneous   no  None    Oxide
US4918249   glass-beads Fe  703 -1.37   56.00   Durante gas O2  heterogeneous   no  None    Oxide
US4918249   hydroxysodalite Fe  708 -2.52   59.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   hydroxysodalite Fe  718 -1.29   24.00   Durante gas O2  heterogeneous   yes None    Sodalite
US4918249   hydroxysodalite Fe  707 -1.28   18.00   Durante gas O2  heterogeneous   yes None    Sodalite
10.1039/c39940002209    ZSM-5   Fe  700 -2.41   0.00    Wang    gas O2  heterogeneous   yes None    Zeolite
10.1039/c39940002209    ZSM-5   Fe  700 -2.04   0.00    Wang    gas O2  heterogeneous   yes None    Zeolite
10.1039/c39940002209    ferrisilicate   Fe  700 -2.52   0.00    Wang    gas O2  heterogeneous   yes None    Zeolite
10.1039/c39940002209    ferrisilicate   Fe  700 -1.82   0.00    Wang    gas O2  heterogeneous   yes None    Zeolite
10.1039/c39940002209    FAPO-5  Fe  700 -2.10   0.00    Wang    gas O2  heterogeneous   yes None    Zeolite
10.1039/c39940002209    FAPO-5  Fe  700 -1.83   1.90    Wang    gas O2  heterogeneous   yes None    Zeolite
10.1039/c39940002209    phosphate   Fe  700 -3.10   1.60    Wang    gas O2  heterogeneous   no  None    Phosphate
10.1039/c39940002209    phosphate   Fe  700 -2.72   20.30   Wang    gas O2  heterogeneous   no  None    Phosphate
10.1039/c39940002209    phosphate   Fe  700 -2.29   25.70   Wang    gas O2  heterogeneous   no  None    Phosphate
10.1016/S0021-9517(03)00077-0   FePO4/MCM-41/PO4    Fe  673 -3.30   0.00    Wang    gas N2O heterogeneous   yes None    Phosphate/zeolite
10.1016/S0021-9517(03)00077-0   FePO4/MCM-41/PO5    Fe  723 -2.96   0.00    Wang    gas N2O heterogeneous   yes None    Phosphate/zeolite
10.1016/S0021-9517(03)00077-0   FePO4/MCM-41/PO6    Fe  673 -2.52   15.00   Wang    gas N2O heterogeneous   yes None    Phosphate/zeolite
10.1016/S0021-9517(03)00077-0   FePO4/MCM-41/PO7    Fe  723 -1.94   15.10   Wang    gas N2O heterogeneous   yes None    Phosphate/zeolite
10.1016/S0021-9517(03)00077-0   FePO4/MCM-41/PO8    Fe  673 -2.08   23.60   Wang    gas N2O heterogeneous   yes None    Phosphate/zeolite
